Area,Item,Unit,Value
Worldwide,"Hen eggs in shell, fresh",(USD/kg),2.34
Worldwide,Hop cones,(USD/kg),4.6
Worldwide,"Horse meat, fresh or chilled",(USD/kg),2.17
Worldwide,"Horse meat, fresh or chilled (biological)",(USD/kg),1.36
Worldwide,"Jute, raw or retted",(USD/kg),0.63
Worldwide,Karite nuts (sheanuts),(USD/kg),0.28
Worldwide,Kiwi fruit,(USD/kg),1.32
Worldwide,Kola nuts,(USD/kg),0.61
Worldwide,Leeks and other alliaceous vegetables,(USD/kg),1.1
Worldwide,Lemons and limes,(USD/kg),1.13
Worldwide,"Lentils, dry",(USD/kg),1.02
Worldwide,Lettuce and chicory,(USD/kg),1.51
Worldwide,Linseed,(USD/kg),0.66
Worldwide,Locust beans (carobs),(USD/kg),0.85
Worldwide,Lupins,(USD/kg),0.43
Worldwide,Maize (corn),(USD/kg),1.27
Worldwide,"Mangoes, guavas and mangosteens",(USD/kg),2.74
Worldwide,Maté leaves,(USD/kg),0.94
Worldwide,"Meat of asses, fresh or chilled",(USD/kg),1.14
Worldwide,"Meat of asses, fresh or chilled (biological)",(USD/kg),4.61
Worldwide,"Meat of buffalo, fresh or chilled",(USD/kg),5.29
Worldwide,"Meat of buffalo, fresh or chilled (biological)",(USD/kg),3.49
Worldwide,"Meat of camels, fresh or chilled",(USD/kg),8.95
Worldwide,"Meat of camels, fresh or chilled (biological)",(USD/kg),2.91
Worldwide,"Meat of cattle with the bone, fresh or chilled",(USD/kg),4.41
Worldwide,"Meat of cattle with the bone, fresh or chilled (biological)",(USD/kg),2.66
Worldwide,"Meat of chickens, fresh or chilled",(USD/kg),2.77
Worldwide,"Meat of chickens, fresh or chilled (biological)",(USD/kg),2.8
Worldwide,"Meat of ducks, fresh or chilled",(USD/kg),4.08
Worldwide,"Meat of ducks, fresh or chilled (biological)",(USD/kg),4.13
Worldwide,"Meat of geese, fresh or chilled",(USD/kg),8.87
Worldwide,"Meat of geese, fresh or chilled (biological)",(USD/kg),4.4
Worldwide,"Meat of goat, fresh or chilled",(USD/kg),5.26
Worldwide,"Meat of goat, fresh or chilled (biological)",(USD/kg),4.17
Worldwide,"Meat of mules, fresh or chilled",(USD/kg),1.17
Worldwide,"Meat of mules, fresh or chilled (biological)",(USD/kg),4.26
Worldwide,"Meat of pig with the bone, fresh or chilled",(USD/kg),2.74
Worldwide,"Meat of pig with the bone, fresh or chilled (biological)",(USD/kg),3.07
Worldwide,"Meat of pigeons and other birds n.e.c., fresh, chilled or frozen (biological)",(USD/kg),2.88
Worldwide,"Meat of rabbits and hares, fresh or chilled",(USD/kg),7.89
Worldwide,"Meat of rabbits and hares, fresh or chilled (biological)",(USD/kg),3.16
Worldwide,"Meat of sheep, fresh or chilled",(USD/kg),5.05
Worldwide,"Meat of sheep, fresh or chilled (biological)",(USD/kg),3.66
Worldwide,"Meat of turkeys, fresh or chilled",(USD/kg),3.58
Worldwide,"Meat of turkeys, fresh or chilled (biological)",(USD/kg),2.43
Worldwide,Millet,(USD/kg),1.16
Worldwide,Mixed grain,(USD/kg),4.87
Worldwide,Mushrooms and truffles,(USD/kg),3.55
Worldwide,Mustard seed,(USD/kg),1.1
Worldwide,Natural honey,(USD/kg),4.26
Worldwide,Natural rubber in primary forms,(USD/kg),1.08
Worldwide,"Nutmeg, mace, cardamoms, raw",(USD/kg),5.2
Worldwide,Oats,(USD/kg),0.38
Worldwide,Oil palm fruit,(USD/kg),0.52
Worldwide,Okra,(USD/kg),1.51
Worldwide,Olives,(USD/kg),0.78
Worldwide,"Onions and shallots, dry (excluding dehydrated)",(USD/kg),0.82
Worldwide,"Onions and shallots, green",(USD/kg),0.89
Worldwide,Oranges,(USD/kg),1.01
Worldwide,Other bananas (excluding cavendish and cooking bananas),(USD/kg),0.8
Worldwide,"Other beans, green",(USD/kg),1.74
Worldwide,Other berries and fruits of the genus vaccinium n.e.c.,(USD/kg),3.21
Worldwide,"Other citrus fruit, n.e.c.",(USD/kg),1.53
Worldwide,"Other fibre crops, raw, n.e.c.",(USD/kg),0.48
Worldwide,"Other fruits, n.e.c.",(USD/kg),2.21
Worldwide,"Other meat of mammals, fresh or chilled",(USD/kg),7.01
Worldwide,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",(USD/kg),3.07
Worldwide,"Other oil seeds, n.e.c.",(USD/kg),0.94
Worldwide,Other pulses n.e.c.,(USD/kg),1.42
Worldwide,"Other stimulant, spice and aromatic crops, n.e.c.",(USD/kg),2.36
Worldwide,Other stone fruits,(USD/kg),1.2
Worldwide,"Other tropical fruits, n.e.c.",(USD/kg),0.86
Worldwide,"Other vegetables, fresh n.e.c.",(USD/kg),1.13
Worldwide,Palm kernels,(USD/kg),0.29
Worldwide,Palm oil,(USD/kg),0.92
Worldwide,Papayas,(USD/kg),1.95
Worldwide,Peaches and nectarines,(USD/kg),1.06
Worldwide,Pears,(USD/kg),0.95
Worldwide,"Peas, dry",(USD/kg),0.85
Worldwide,"Peas, green",(USD/kg),1.49
Worldwide,"Pepper (Piper spp.), raw",(USD/kg),2.53
Worldwide,"Peppermint, spearmint",(USD/kg),1.5
Worldwide,Persimmons,(USD/kg),1.55
Worldwide,"Pigeon peas, dry",(USD/kg),1.97
Worldwide,Pineapples,(USD/kg),1.22
Worldwide,"Pistachios, in shell",(USD/kg),4.69
Worldwide,Plantains,(USD/kg),0.62
Worldwide,Plantains and cooking bananas,(USD/kg),0.69
Worldwide,Plums and sloes,(USD/kg),0.83
Worldwide,Pomelos and grapefruits,(USD/kg),0.77
Worldwide,Poppy seed,(USD/kg),1.16
Worldwide,Potatoes,(USD/kg),0.57
Worldwide,"Pumpkins, squash and gourds",(USD/kg),0.81
Worldwide,"Pyrethrum, dried flowers",(USD/kg),1.03
Worldwide,Quinces,(USD/kg),0.82
Worldwide,Quinoa,(USD/kg),1.02
Worldwide,Rape or colza seed,(USD/kg),1.78
Worldwide,Raspberries,(USD/kg),3.62
Worldwide,Raw milk of buffalo,(USD/kg),0.49
Worldwide,Raw milk of camel,(USD/kg),1.48
Worldwide,Raw milk of cattle,(USD/kg),0.71
Worldwide,Raw milk of goats,(USD/kg),1.11
Worldwide,Raw milk of sheep,(USD/kg),0.92
Worldwide,Rice,(USD/kg),0.61
Worldwide,Rye,(USD/kg),0.72
Worldwide,Safflower seed,(USD/kg),0.49
Worldwide,"Seed cotton, unginned",(USD/kg),0.75
Worldwide,Sesame seed,(USD/kg),1.6
Worldwide,"Shorn wool, greasy, including fleece-washed shorn wool",(USD/kg),1.3
Worldwide,Silk-worm cocoons suitable for reeling,(USD/kg),4.66
Worldwide,"Sisal, raw",(USD/kg),0.32
Worldwide,Sorghum,(USD/kg),0.43
Worldwide,Sour cherries,(USD/kg),1.08
Worldwide,Soya beans,(USD/kg),0.85
Worldwide,Spinach,(USD/kg),1.79
Worldwide,Strawberries,(USD/kg),2.03
Worldwide,String beans,(USD/kg),1.06
Worldwide,Sugar beet,(USD/kg),0.32
Worldwide,Sugar cane,(USD/kg),0.48
Worldwide,Sunflower seed,(USD/kg),0.94
Worldwide,Sweet potatoes,(USD/kg),0.96
Worldwide,"Tangerines, mandarins, clementines",(USD/kg),1.01
Worldwide,Taro,(USD/kg),1.7
Worldwide,Tea leaves,(USD/kg),4.03
Worldwide,Tomatoes,(USD/kg),1.27
Worldwide,Triticale,(USD/kg),1.06
Worldwide,"True hemp, raw or retted",(USD/kg),1.7
Worldwide,Tung nuts,(USD/kg),1.17
Worldwide,Unmanufactured tobacco,(USD/kg),2.45
Worldwide,"Vanilla, raw",(USD/kg),2.8
Worldwide,Vetches,(USD/kg),1.76
Worldwide,"Walnuts, in shell",(USD/kg),1.89
Worldwide,Watermelons,(USD/kg),0.64
Worldwide,Wheat,(USD/kg),0.92
Worldwide,Yams,(USD/kg),1.44
Worldwide,Yautia,(USD/kg),0.64
