Organization Name,Contact,FLO ID,Function,Country,Product Type
AB Banan-Kompaniet,"Axgatan 1, Landskrona, 261 51, Sweden",1526,"Trader, Importer, Licensee",Sweden,Banana (Banana)
AB Nordic Sugar Kedainiai,"Pramonės gatvė 6, Kėdainiai, 58166, Lithuania",36880,"Trader, Trader that is also a Manufacturer/Processor, Importer, Licensee",Lithuania,Cane sugar (Cane sugar)
ABCD DE L'EXOTIQUE,"37 avenue de Bourgogne, CP 60 546 - Batiment A3, Rungis, 94581, France",41335,Trader,France,Banana (Not specified)
ABF Grain Products Ltd,"6 Cross Lane, Bradford, BD4 0SG, United Kingdom",35471,"Trader, Trader that is also a Manufacturer/Processor",United Kingdom,Cocoa (Cocoa)
ABLUES CLOTHING,"D.NO:2/280C,GANDHI NAGAR, NERUPPERICHAL VILLAGE,PERUMANALLUR, VIA,VAVIPALAYAM POST, 641666, India",38287,"Trader, Trader that is also a Manufacturer/Processor",India,Cotton (Seed Cotton)
ABOCFA Co-operative Cocoa Farmers and Marketing Society Limited,"Aponoapono, C/o P.O.Box 278, Suhum, Ghana",25662,Producer,Ghana,Cocoa (Cocoa)
ACEC - Asociación de Caficultores Ecológicos del Departamento del Cauca,"Carrera 9 # 68 N 04 Alto Cauca, Popayan, Colombia",25766,Producer,Colombia,Coffee (Arabica)
ACOPACACHI de R.L.,"Calle a Cantón El Coco, Colonia Cuzcachapa, Cantón Galeano, Chalchupa, El Salvador",40831,Producer,El Salvador,Coffee (Not specified)
ACOPPS and AMOPPA Organic Producers and Exporters Ltd,"21 Nana Essi Loop, Ekumfi Esseuhiya, Ghana",36863,Producer,Ghana,Fresh fruit (Pineapples)
ACT International AG,"Baarerstrasse 14, Zug, 6300, Switzerland",39490,"Trader, Importer",Switzerland,Cocoa (Cocoa)
ACTIBIO SAS,"ZA Les Grands Prés -10 rue Ferdinand Buisson, Changé, 53810, France",42939,Trader,France,"Cane sugar (Cane sugar), Cocoa (Cocoa), Dried fruit (Banana), Oilseeds and Oleaginous fruit (Coconut)"
ADA Cosmetics International GmbH,"Rastatter Straße 2 A, Kehl, 77694, Germany",28512,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Germany,"Cane sugar (Cane sugar), Nuts (Brazil Nut), Oilseeds and Oleaginous fruit (Olive Oil)"
ADA Cosmetics International Sdn Bhd,"Kilang B, Lot 8133 & 130428, Jalan Canang Emas 8/KS10, Telok Gong, Pelabuhan Klang, 42000, Malaysia",47344,"Trader, Trader that is also a Manufacturer/Processor",Malaysia,"Cane sugar (Cane sugar), Nuts (Brazil Nut), Oilseeds and Oleaginous fruit (Olive Oil)"
ADA International s.r.o,"Podlesí 53, Holice, 53401, Czech Republic",35333,"Trader, Trader that is also a Manufacturer/Processor",Czech Republic,"Cane sugar (Cane sugar), Nuts (Brazil Nut), Oilseeds and Oleaginous fruit (Olive Oil)"
ADAMEXPO,"No : 370, Sedawatta Road, Wellampitiya, Wellampitiya, Sri Lanka",33984,"Trader, Exporter",Sri Lanka,Tea (Camellia sinensis)
ADM WILD Europe GmbH & Co. KG,"Am Schlangengraben 3-5, Berlin, 13597, Germany",43915,"Trader, Trader that is also a Manufacturer/Processor",Germany,"Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia))"
ADM WILD Netherlands B.V.,"Capriweg 4, Amsterdam, 1044 AL, Netherlands",32055,"Trader, Trader that is also a Manufacturer/Processor",Netherlands,"Banana (Banana), Fresh fruit (Mangoes), Fruit juices (Guava, Orange, Passion fruit, Pineapple)"
ADM Wild Nauen GmbH,"Berliner Straße 119, Nauen, 14641, Germany",37969,"Trader, Trader that is also a Manufacturer/Processor",Germany,Cocoa (Cocoa)
AESCHBACH CHOCOLATIER AG,"ChocoDromo 1a, Hochschwerzlen, Root, 6037, Switzerland",23816,"Trader, Trader that is also a Manufacturer/Processor",Switzerland,"Cane sugar (Cane sugar), Cocoa (Cocoa), Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia))"
AF1641Doi Chaang Coffee Limited Partnership,"1-8080 North Fraser Way, Burnaby, V5J 0E6, Canada",20550,"Trader, Importer",Canada,Coffee (Not specified)
AFH EXPORT SARL,"BP 113, Analamandrorofo, SAMBAVA, 208, Madagascar",23776,"Trader, Exporter",Madagascar,"Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia))"
AFOKANTAN BENIN CASHEW SA,"BP 10, Tchaourou, Benin",40705,"Trader, Exporter",Benin,Nuts (Cashew Nut)
AG Pacific Nutriceutical Corporation,"Sikatuna Extension, Harada Butai, Padada, Davao del Sur, Mindanao Island, 8007, Philippines",28099,"Trader, Trader that is also a Manufacturer/Processor, Exporter",Philippines,Oilseeds and Oleaginous fruit (Coconut for processing)
AGBS COOP-CA,"BP 32 Sikensi, Sikensi, Ivory Coast",37789,Producer,Ivory Coast,Cocoa (Cocoa)
AGRANA Fruit Austria GmbH,"Mühlwaldstraße 1, Gleisdorf, 8200, Austria",5957,"Trader, Trader that is also a Manufacturer/Processor",Austria,"Banana (Banana), Cane sugar (Cane sugar), Cocoa (Cocoa), Coffee (Arabica), Dried fruit (Date), Fruit juices (Pineapple), Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia)), Oilseeds and Oleaginous fruit (Coconut), Pulp (Mango)"
AGRANA Fruit France SAS,"17 avenue du 8 Mai 1945, Mitry-Mory, 77290, France",43557,"Trader, Trader that is also a Manufacturer/Processor",France,"Cereals (Quinoa), Dried fruit (Date), Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia)), Pulp (Not specified)"
AGRANA Fruit Services GmbH,"Friedrich-Wilhelm-Raiffeisen-Platz 1, Vienna, 1020, Austria",32960,Trader,Austria,"Cane sugar (Cane sugar), Cocoa (Cocoa), Dried fruit (Date), Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia)), Oilseeds and Oleaginous fruit (Coconut)"
AGRANA ROMANIA S.R.L.,"Șoseaua Străulești 178-180, Bucharest, 013339, Romania",46480,"Trader, Trader that is also a Manufacturer/Processor, Importer, Licensee",Romania,Cane sugar (Cane sugar)
AGRANA Sales & Marketing GmbH,"Friedrich Wilhelm Raiffeisen Platz 1, Vienna, 1020, Austria",41829,"Trader, Trader that is also a Manufacturer/Processor, Importer, Licensee",Austria,Cane sugar (Cane sugar)
AGRIFRESH S.A.C.,"Car. Panamericana Sur Km. 310 (Planta Pomica Peru Sac-100metros de Iqf), Pueblo nuevo, 11200, Peru",47488,Producer,Peru,Fresh fruit (Pomegranate)
AGRO ANDINO S.R.L.,"JR JULIAN CRUZADO 1, San Pablo, Peru",47532,"Trader, Trader that is also a Manufacturer/Processor, Exporter",Peru,Fresh fruit (Physalis)
AGROBIODROM,"2735 Chemin des Archipuits, Loriol-sur-Drôme, 26270, France",44862,"Trader, Trader that is also a Manufacturer/Processor, Licensee",France,Banana (Banana)
AGROJAR S.A.S.,"CALLE 10 # 2-37, Jardin, Colombia",35732,Producer,Colombia,"Fresh fruit (Avocados, Passion Fruit)"
AGRONEGOCIOS SAN MIGUEL ARCANGEL SAC,"MZ Lote 1 URB. Miraflores Castilla-Piura, Castilla, Peru",46313,Producer,Peru,Banana (Banana)
"AGROTECNICA, S.A. (Finca San Luis)","Km 1 carretera Los Millonarios, Chinandega, 25000, Nicaragua",41683,Producer,Nicaragua,Banana (Banana)
AGUA DE ORO SARL,"GRAND-RUE 21, Geneva, 1204, Switzerland",44363,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Switzerland,Gold & associated Precious Metals (Gold)
AIO Impex Pvt. Ltd,"26-41-5, NH - 5 Road, KSA Complex, Old Gajuwaka, Visakapatnam, 530026, India",47111,"Trader, Importer",India,Oilseeds and Oleaginous fruit (Coconut for processing)
AISAKOS S.A.,"87 Marathonos Avenue & Salaminοs, Pallini, 15351, Greece",48299,Trader,Greece,Cocoa (Cocoa)
AK Food International BV,"Schiehavenkade 428, Rotterdam, 3024 EZ, Netherlands",49891,"Trader, Importer",Netherlands,"Fruit juices (Mango), Pulp (Mango)"
AKH KNITTING & DYEING LTD.,"92 PHULBARIA, TETULZORA, SAVAR, Dhaka, 1347, Bangladesh",18970,"Trader, Trader that is also a Manufacturer/Processor",Bangladesh,Cotton (Seed Cotton)
ALBIUS RESOURCES SA,"CHEMIN DE MON SOLEIL 1A, Genève, 1202, Switzerland",43290,"Trader, Importer",Switzerland,"Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia))"
ALDER Hamburg e.K.,"Ellernreihe 59, Hamburg, 22179, Germany",40903,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Germany,Cane sugar (Cane sugar secondary product)
ALDIVIA,"49, rue des Sources BP1, SAINT GENIS LAVAL, 69561 CEDEX, France",26725,"Trader, Trader that is also a Manufacturer/Processor, Importer",France,"Cocoa (Cocoa), Nuts (Brazil Nut), Oilseeds and Oleaginous fruit (Argan Oil, Coconut, Olive Oil, Sesame oil, Shea Butter)"
ALFALFA,"Lieu-dit VIMER, Guerquesalles, 61120, France",41824,Trader,France,"Cane sugar (Cane sugar), Cocoa (Cocoa secondary product, Cocoa), Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia))"
ALG Boerdery (Pty) Ltd,"Karnemelksvlei, PO Box 8, Citrusdal, 7340, South Africa",2782,Producer,South Africa,"Fresh fruit (Grapefruit (Citrus x paradisi), Lemons, Limes, Oranges, Soft Citrus), Fruit juices (Mandarin, Orange)"
ALG Marketing (Pty) Ltd,"ALG packhouse, ALG Boerdery, Bo-rivier Road, Citrusdal, South Africa",24095,"Trader, Exporter",South Africa,"Fresh fruit (Grapefruit (Citrus x paradisi), Lemons, Limes, Oranges, Soft Citrus), Fruit juices (Mandarin, Orange)"
ALLFRESCH LTD,"The Stalls, Shifnal Manor Barns, Shifnal, TF11 9PB, United Kingdom",36916,"Trader, Importer",United Kingdom,Banana (Banana)
ALPHA TEXX SP. ZO.O.,"DĘBOWA ŁĄKA 45, DĘBOWA ŁĄKA, 87-207, Poland",47251,Licensee,Poland,Cotton (Seed Cotton)
ALT WIEN KAFFEE - Christian Schrödl KG,"Slamastrasse 27, Vienna, 1230, Austria",1986,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Austria,"Coffee (Arabica, Robusta)"
ALTERNATIVE GROUNDS,"130 Cawthra Ave., Unit 103, Toronto, M6N 3C2, Canada",1212,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Canada,Coffee (Not specified)
ALTRA QUALITA' Soc. Coop.,"Via C. Tura 12, Voghiera, 44019, Italy",24403,Trader,Italy,"Herbs, herbal teas & spices (Rooibos (Aspalathus linearis))"
AM Fresh UK Limited,"Pierson Road, The Enterprise Campus, Alconbury Weald, Peterborough, PE28 4YA, United Kingdom",44344,"Trader, Trader that is also a Manufacturer/Processor, Licensee, Importer",United Kingdom,"Fresh fruit (Lemons, Limes, Mangoes, Oranges, Table Grapes)"
AMA’Z COFFEE TRAIDING SAC,"car. Jaén San Ignacio KM2 20 MZA SN lote SN, Jaén, 01130, Peru",47927,"Trader, Exporter",Peru,Coffee (Arabica)
AMC NATURAL DRINKS S.L,"Ctra. Madrid-Cartagena Km 390, Espinardo, 30100, Spain",6609,"Trader, Trader that is also a Manufacturer/Processor",Spain,"Cocoa (Cocoa), Coffee (Arabica), Fruit juices (Mango), Tea (Camellia sinensis)"
AMKO EXPORTS,"A-1,B.S.ROAD IND AREA, GHAZIABAD, GHAZIABAD, 201001, India",31372,"Trader, Trader that is also a Manufacturer/Processor",India,Cotton (Seed Cotton)
AMRIT IMPEX PVT. LTD.,"Gopalpur, Chandigarh, Jhawtala, P.O:-Ganganagar, Dist:-24 Parganas (N), Kolkata, 700132, India",25391,"Trader, Trader that is also a Manufacturer/Processor",India,Cotton (Seed Cotton)
AMYLON A.S,"Ronov nad Sázavou 13, Přibyslav, 58222, Czech Republic",38889,"Trader, Trader that is also a Manufacturer/Processor",Czech Republic,Cocoa (Cocoa)
ANACO & GREEVE International B.V.,"ABC Westland 666, DH Poeldijk, 2685, Netherlands",27308,Trader,Netherlands,Banana (Banana)
ANDAGRO S.A.S,"Comunal 3 Vía Churidó Pueblo, Apartadó, Colombia",3211,Producer,Colombia,Banana (Banana)
AOG LLC DBA TruFood MFG,"610 Alpha Drive, Pittsburg, 15237, United States",42354,"Trader, Trader that is also a Manufacturer/Processor",United States,"Cocoa (Cocoa), Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia))"
APAGRO PERU VALLE SAN LORENZO,"carretera Tambogrande Las Lomas Km. 1080.50 - Caserio San Pablo S/N, Tambogrande, 20201, Peru",21438,Producer,Peru,"Fresh fruit (Limes, Mangoes)"
APH Svenska AB,"Stenåldersgatan 14, Malmö, S-213 76, Sweden",6527,"Trader, Trader that is also a Manufacturer/Processor, Importer, Licensee",Sweden,Flowers and Plants (Cut Flowers and cut foliage)
APPCER - Associação dos Pequenos Produtores do Cerrado,"Av. Faria Pereira, 3076, Sala 201, Bairro São Cristóvãol, Patrocínio, 38742-218, Brazil",26128,Producer,Brazil,Coffee (Arabica)
APRMJ - Associaçâo dos Produtores Rurais do Municipio de Jeriquara,"Rua Cândida Cintra Lima , 350 Bairro Sinhá Junqueira, Jeriquara, 14450-000, Brazil",30171,Producer,Brazil,Coffee (Arabica)
APROCADOC - Associação dos Produtores de Café de Dois Córregos,"Rua Olaria, 40 – Jardim Arco-Iris, Dois Corregos, 17300-000, Brazil",5612,Producer,Brazil,Coffee (Arabica)
APROD - Associação dos Cafeicultores de Monntanha de Divinolandia,"Rodovia Vicinal Divinolândia a Poços de Caldas, Km 02, Bairro Santo ambrósio, Divinolândia, 13780-000, Brazil",28127,Producer,Brazil,Coffee (Arabica)
AQ Roses PLC,"PO Box 404, Ziway, Ethiopia",29790,Producer,Ethiopia,Flowers and Plants (Cut Flowers)
ARAKU FRANCE,"14 rue de Bretagne, Paris, 75003, France",35134,"Trader, Trader that is also a Manufacturer/Processor, Importer, Licensee",France,Coffee (Not specified)
ARKADIA Sp.z.o.o.,"ul. Bydgoska 17, Gostycyn, 89-500, Poland",33443,"Trader, Trader that is also a Manufacturer/Processor, Importer",Poland,Cocoa (Cocoa)
AROMAD,"Lot NC24 secteur N4 Ambatomitraka, Antalaha, Madagascar",40802,"Trader, Exporter",Madagascar,"Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia))"
ARTISAN ROASTERS AG.,"Seestrasse 93, Horgen, 8810, Switzerland",37725,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Switzerland,Coffee (Not specified)
ARTISTA CHOCOLATES SA,"Avenue Mercator 10, Wavre, 1300, Belgium",44980,"Trader, Trader that is also a Manufacturer/Processor",Belgium,Cocoa (Cocoa)
ARTkaffee GmbH,"Löfflerweg 20, Hall in Tiroll, 6060, Austria",45963,"Trader, Trader that is also a Manufacturer/Processor",Austria,Coffee (Arabica)
AS Blomsterringen Engros,"Sanitetsveien 15, Skjetten, 2013, Norway",31630,"Trader, Licensee, Importer",Norway,"Flowers and Plants (Cut Flowers, Young Plant Material for Plants)"
ASCARIVE - Associacao Dos Cafeicultores do Vale do Rio Verde,"RUA GORGULHO, Nº 926. LOJA 02., Carmo de Minas, 37472-000, Brazil",21331,Producer,Brazil,Coffee (Arabica)
ASK Apparels,"11/1, Periyar Nagar West, Karur, 639002, India",43401,"Trader, Trader that is also a Manufacturer/Processor",India,Cotton (Seed Cotton)
ASM Foods AB,"Kyrkogatan 26, Mjölby, 59529, Sweden",26516,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Sweden,"Cane sugar (Cane sugar), Cocoa (Cocoa), Coffee (Arabica, Robusta), Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia))"
ASOCIACION CAFE AROMA DE MONTAÑA DE MIRANDA CAUCA,"CALLE 4 Nº 9-20 B/ EL TRIUNFO, Miranda, 191520, Colombia",49251,Producer,Colombia,Coffee (Arabica)
ASOCIACION DE AGRICULTORES BOSQUES DE NEBLINA,"CAL. COLLASUYO, URB. PALESTINA RUTA 09, Jaén, Peru",36913,Producer,Peru,Coffee (Arabica)
ASOCIACION DE CAFETEROS EL DESARROLLO,"Calle 4 N 8 27, Gigante, 414001, Colombia",47769,Producer,Colombia,Coffee (Not specified)
ASOCIACION DE PRODUCCION AGRICOLA COLINES,"Barrio: LOTIZACION CORONEL Calle: AV. FERROVIARIA 1, AL FRENTE DEL CUARTEL MILITAR, Machala, 070102, Ecuador",48106,Producer,Ecuador,Banana (Banana)
ASOCIACION DE PRODUCTORES AGROPECUARIOS EL GRAN MIRADOR COFFEE,"JR. MARISCAL CASTILLA N° 302 -CENTRO CHIRINOS, San Ignacio, 06841, Peru",47607,Producer,Peru,Coffee (Not specified)
ASOCIACION DE PRODUCTORES AGROPECUARIOS ELTESORO DE SALAWINDE,"NRO. SN CAS. HUILCATE SECTOR 1 CP HUANGAMARCA (CASA COMUNAL) CAJAMARCA HUALGAYOC, BAMBAMARCA, Peru",47847,Producer,Peru,Fresh fruit (Physalis)
ASOCIACION DE PRODUCTORES CAFETALEROS CUENCAS DEL RIO BLANCO,"OTR. MZ. A S/N PBLO. NAMBALLE – Distrito de Namball, San Ignacio, Peru",48904,Producer,Peru,Coffee (Arabica)
ASOCIACIÓN DE PRODUCTORES CERRO BLANCO,"Av. Comercio Mz 2, Lote 12-Pacaypite, Distrito de Jepelacio, Moyobamba, 22001, Peru",47549,Producer,Peru,Coffee (Arabica)
ASOCIACIÓN DE PRODUCTORES SUMAQ RURUY DEL VRAEM,"MZA. SN C.P. MICAELA BASTIDAS_RIO ENE JUNIN - SATIPO - PANGOA., Pangoa, Peru",49331,Producer,Peru,Cocoa (Cocoa)
ASONDO SA,"Treichville Zone 3, rue des ferronniers, Immeuble Blason, Abidjan, Ivory Coast",49089,"Trader, Exporter",Ivory Coast,Cocoa (Cocoa)
ASPROCAFE INGRUMA,"Carrera 8 No 10-20, Riosucio, Colombia",714,Producer,Colombia,Coffee (Arabica)
ASSOCIATION AINGAVAO,"Sokafana Ambongamarina, Anjozorobe, 107, Madagascar",45339,Producer,Madagascar,"Herbs, herbal teas & spices (Ginger (Zingiber officinale))"
ASSOCIATION PRO VANILLA & SPICES,"Antsahamadio Morafeno, Anjangoveratra, Sambava, 208, Madagascar",46026,Producer,Madagascar,"Herbs, herbal teas & spices (Clove (Syzygium aromaticum), Vanilla (Vanilla mexicana, V. fragrans, V. planifolia))"
ASSOPRO- Associação dos Pequenos Produtores de Ouro Fino,"Rua Mário Miranda 96, Centro, Ouro Fino, 37570 - 000, Brazil",20009,Producer,Brazil,Coffee (Not specified)
ATTRACTIF,"ROUTE DE TUNIS, ZONE INDUSTRIEL EL HAMADA, Akouda, 4022, Tunisia",36567,Trader,Tunisia,Cotton (Not specified)
AVABE,", Bemanevika, Madagascar",47220,Producer,Madagascar,"Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia))"
AVOTRA,"Marovato, Andapa, 205, Madagascar",47551,Producer,Madagascar,"Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia))"
AVT Natural Products Ltd,"Marampilly - Thadiyittaparambu Road, ALUVA, Aluva, 683105, India",24000,"Trader, Trader that is also a Manufacturer/Processor, Importer, Exporter",India,Tea (Camellia sinensis)
AZ Consult ApS,"Hjortevaenget 2, Viby Sjaelland, 4130, Denmark",43087,"Trader, Importer, Licensee",Denmark,"Herbs, herbal teas & spices (Vanilla (Vanilla mexicana, V. fragrans, V. planifolia))"
AZ France,"18-28 rue du Puits Dixme Sénia 547, Thiais, 94577, France",5887,"Trader, Importer, Licensee",France,"Banana (Banana), Fresh fruit (Avocados)"
Aadarsh Packaging Products,"Par dankuni, delhi road, Dankuni, 712310, India",42163,"Trader, Trader that is also a Manufacturer/Processor",India,Cotton (Seed Cotton)
Aadhava Apparels,"No: 4/57, SF No:151/B, Thanchankadu, Near KCM Nagar, Karumapalayam Village, Karukkampalayam (PO), Avinashi Taluk, Tirupur, 641654, India",45038,"Trader, Trader that is also a Manufacturer/Processor",India,Cotton (Seed Cotton)
Aan De Doorns Wynkelder (Pty) Ltd,"Aan De Doorns Cellar, R43, Worcester, South Africa",40038,"Trader, Trader that is also a Manufacturer/Processor, Exporter",South Africa,Wine grapes (Wine grapes)
Aaro Forsman Oy,"Suokalliontie 7, Vantaa, 01740, Finland",5337,"Trader, Importer, Licensee",Finland,"Herbs, herbal teas & spices (Rooibos (Aspalathus linearis)), Tea (Camellia sinensis)"
Aaseervaa Fabrics,"No.32, Kamarajapuram West 2nd Street, Sengunthapuram post, Karur, 639002, India",45863,"Trader, Trader that is also a Manufacturer/Processor",India,Cotton (Seed Cotton)
Abafoods,"via Ca' Mignola Nuova 1775, Badia Polesine (ROVIGO), 45021, Italy",18726,"Trader, Trader that is also a Manufacturer/Processor, Importer",Italy,"Cane sugar (Cane sugar), Cereals (Quinoa), Cocoa (Cocoa), Oilseeds and Oleaginous fruit (Coconut), Rice (Not specified)"
Abahuzamugambi,"PO Box 52, Butare, Rwanda",2330,Producer,Rwanda,Coffee (Arabica)
Abateraninkunga ba sholi,"Sholi cell, Cyeza sector, Muhanga district, Rwanda",32238,"Producer, Producer that is also a Manufacturer/Processor",Rwanda,Coffee (Arabica)
Abbas Traders Limited,"PO Box 80240, Mombasa, 80100, Kenya",45602,"Trader, Exporter",Kenya,Tea (Camellia sinensis)
Abbott Blackstone Co Inc,"1156 NE Cleveland St, Clearwater, 33755, United States",47139,"Trader, Importer",United States,"Cocoa (Cocoa), Herbs, herbal teas & spices (Coconut palm sugar/nectar (Cocos nucifera))"
Abbott Blackstone International GmbH,"Stefanusstr. 6, Gräfelfing, 82166, Germany",39411,"Trader, Importer",Germany,"Cocoa (Cocoa), Herbs, herbal teas & spices (Coconut palm sugar/nectar (Cocos nucifera))"
Abercore Limited,"Sloane Avenue 50, Greater London, SW3 3DD, United Kingdom",34452,"Trader, Importer",United Kingdom,Cane sugar (Cane sugar)
Abtswinder Naturheilmittel GmbH & Co. KG,"Gewürzstraße 1-3, Abtswind, 97355, Germany",25212,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Germany,"Herbs, herbal teas & spices (Black Pepper (Piper nigrum), Camomile (Matricaria recutita, Anthemis nobilis), Cinnamon (Cinnamomum zeylanicum, C. cassia), Clove (Syzygium aromaticum), Ginger (Zingiber officinale), Hibiscus (Hibiscus sabdariffa), , , , ),"
Accademia del Caffè Gastronomiebetriebs GmbH,"Schimmelgasse 12/2/1, Vienna, 1030, Austria",29659,"Trader, Licensee",Austria,Coffee (Not specified)
Accolade Wines SA Pty Ltd,"W.R. Quinan Bvd, Paardevlei, Somerset West, 7129, South Africa",31843,"Trader, Trader that is also a Manufacturer/Processor, Licensee",South Africa,Wine grapes (Wine grapes)
Achard International Srl,"VIA LUIGI NEGRELLI 9, BOLZANO, 39100, Italy",49454,Trader,Italy,Cane sugar (Cane sugar)
Active Nutrition International GmbH,"Zunftweg 8, Voerde, 46562, Germany",44971,"Trader, Trader that is also a Manufacturer/Processor, Licensee",Germany,"Cane sugar (Cane sugar), Cocoa (Cocoa)"
