Product,Quality,Form,Country / Region,Producer Scope,Price level (INCOTERMS),Quantity / Unit,Currency,Fairtrade minimum price,Fairtrade premium,Date of validity,Specific Product Standard,Product Specific Information
Cardamom,Conventional,,Worldwide,SPO,,1 kg,,Commercial price,15% of the commercial price,22/07/2009,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard
Cardamom,Organic,,India,SPO,EXW,1 kg,USD,6.08,0.99,21/03/2005,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard
Carrot,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Carrot,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Cashew nut,Conventional,kernel,Worldwide,SPO,FOB,1 pound,USD,2.28,0.15,2/10/2010,Nuts,DW;
Cashew nut,Organic,kernel,Worldwide,SPO,FOB,1 pound,USD,2.57,0.15,2/10/2010,Nuts,DW;
Cashew nut; raw,Conventional,,Africa,SPO,EXW,1 kg,USD,0.55,0.07,15/01/2013,Nuts,kor 48 & 201-210 nut count/kg; refer to the explanation in the product standard
Cashew nut; raw,Organic,,Africa,SPO,EXW,1 kg,USD,0.63,0.07,15/01/2013,Nuts,kor 48 & 201-210 nut count/kg; refer to the explanation in the product standard
Cassava; manioc root; tapioca root,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,7/4/2014,Vegetables,
Cassava; manioc root; tapioca root,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,7/4/2014,Vegetables,
Cauliflower,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Cauliflower,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Celery,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Celery,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Chard,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Chard,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Cherry,Conventional,for processing,Worldwide,SPO / HL,EXW,1 kg,USD,Commercial price,15% of the commercial price,14/10/2022,Fresh Fruit,
Cherry,Organic,for processing,Worldwide,SPO / HL,EXW,1 kg,USD,Commercial price,15% of the commercial price,14/10/2022,Fresh Fruit,
Chestnut,Conventional,dried; semi-processed,Worldwide,SPO,EXW,1 kg,USD,Commercial price,15% of the commercial price,13/06/2017,Nuts,
Chestnut,Organic,dried; semi-processed,Worldwide,SPO,EXW,1 kg,USD,Commercial price,15% of the commercial price,13/06/2017,Nuts,
Cinnamon,Conventional,,Worldwide,SPO,,1 kg,,Commercial price,15% of the commercial price,22/07/2009,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard
Cinnamon,Organic,,India,SPO,EXW,1 kg,USD,4.0,0.21,12/5/2005,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard
Clove,Conventional,,Worldwide,SPO,,1 kg,,Commercial price,15% of the commercial price,22/07/2009,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard
Clove,Organic,,India,SPO,EXW,1 kg,USD,2.6,0.31,4/5/2006,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard
Cocoa,Conventional,Butter,Worldwide,SPO,EXW,1 MT,USD,Commercial price,479,1/2/2020,Cocoa,
Cocoa,Organic,Butter,Worldwide,SPO,EXW,1 MT,USD,Organic differential: +375,479,1/2/2020,Cocoa,
Coconut,Conventional,fresh,South-Eastern Asia,SPO / HL,EXW,,,Commercial price,15% of the Commercial price,13/04/2018,Oilseeds and Oleaginous fruit,whole dry with shell;
Coconut,Organic,fresh,South-Eastern Asia,SPO / HL,EXW,,,Commercial price,15% of the Commercial price,13/04/2018,Oilseeds and Oleaginous fruit,whole dry with shell;
Coffee,Conventional,Arabica;Natural,Worldwide,SPO,FOB,1 pound,USD,1.75,0.2,1/8/2023,Coffee,Natural; at least 0.05 of the FP to be used for productivity/quality
Coffee,Organic,Arabica;Natural,Worldwide,SPO,FOB,1 pound,USD,Organic differential: +0.40,0.2,1/8/2023,Coffee,Natural; For further information see requirement 4.1.1 of the Coffee Standard.
Cucumber,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Cucumber,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Cut Flowers and Cut Foliage,Conventional,Bouquets,Worldwide,HL,FOB,1 bouquets,,Commercial price,10% of the commercial price,31/10/2008,Flowers and Plants,
Date,Conventional,for processing,Egypt,SPO / HL,EXW,1 kg,USD,0.66,0.09,21/09/2021,Fresh Fruit,
Date,Organic,for processing,Egypt,SPO / HL,EXW,1 Kg,USD,0.7,0.09,21/09/2021,Fresh Fruit,
Dragon Fruit,Conventional,Fresh,Worldwide,SPO / HL,EXW,1,,Commercial price,15% of the commercial price,5/12/2014,Fresh Fruit,
Dragon Fruit,Organic,Fresh,Worldwide,SPO / HL,EXW,1,,Commercial price,15% of the commercial price,5/12/2014,Fresh Fruit,
Eggplant,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Eggplant,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Elephant garlic,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,21/11/2018,Vegetables,
Elephant garlic,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,21/11/2018,Vegetables,
Flaxseed,Conventional,,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,26/09/2018,Oilseeds and Oleaginous fruit,
Flaxseed,Organic,,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,26/09/2018,Oilseeds and Oleaginous fruit,
Fonio,Conventional,,Western Africa,SPO,FOB,1 MT,USD,1320.0,100,11/1/2007,Cereals,
Fresh herbs and dried herbs for tea without specified prices,Conventional,,Worldwide,HL,,1 kg,,Commercial price,15% of the commercial price,1/8/2012,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard
Fresh herbs and dried herbs for tea without specified prices,Organic,,Worldwide,HL,,1 kg,,Commercial price,15% of the commercial price,1/8/2012,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard
Garlic,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,15/01/2013,Vegetables,
Garlic,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,15/01/2013,Vegetables,
Gherkin,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Gherkin,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Ginger,Conventional,fresh,Worldwide,SPO,,1 kg,,Commercial price,15% of the commercial price,22/07/2009,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard
Ginger,Organic,Fresh,India,SPO,EXW,1 kg,USD,0.63,0.06,21/03/2005,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard
Gold,Conventional,,Worldwide,ASMO,FOB,1 kg,USD,95% of the LBMA price,2000,1/8/2013,Gold and Associated Precious Metals for Artisanal and Small-Scale Mining,
Grapefruit,Conventional,Concentrate juice,Worldwide,SPO / HL,FOB,1 MT,USD,1200,100,before 2004,Prepared and Preserved Fruit & Vegetables,
Grapefruit,Organic,Concentrate juice,Worldwide,SPO / HL,FOB,1 MT,USD,1500,100,before 2004,Prepared and Preserved Fruit & Vegetables,
Green beans (any edible Phaseolus; Vigna; Lablab),Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,5/5/2017,Vegetables,
Green beans (any edible Phaseolus; Vigna; Lablab),Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,5/5/2017,Vegetables,
Green peas (any edible Pisum),Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,5/5/2017,Vegetables,
Green peas (any edible Pisum),Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,5/5/2017,Vegetables,
Guava,Conventional,Concentrate,Worldwide,SPO / HL,FOB,1 kg,USD,Commercial price,15% of the commercial price,14/10/2022,Prepared and Preserved Fruit & Vegetables,
Guava,Organic,Concentrate,Worldwide,SPO / HL,FOB,1 kg,USD,Commercial price,15% of the commercial price,14/10/2022,Prepared and Preserved Fruit & Vegetables,
Hazelnut,Organic,dried kernel,Georgia,SPO,EXW,1 kg,USD,Commercial price,15% of the commercial price,8/9/2023,Nuts,
Herbs and spices without specified prices,Conventional,,Worldwide,SPO,,1 kg,,Commercial price,15% of the commercial price,22/07/2009,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard
Herbs and spices without specified prices,Organic,,Worldwide,SPO,,1 kg,,Commercial price,15% of the commercial price,22/07/2009,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard
Hibiscus,Conventional,,Worldwide,HL,,1 kg,EUR,Commercial price,0.5,before 2004,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard
Hibiscus,Organic,,Worldwide,HL,,1 kg,EUR,Commercial price,0.5,before 2004,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard
Honey,Conventional,A Quality,Worldwide,SPO,FOB,1 kg,USD,2.55,0.2,1/1/2011,Honey,
Honey,Organic,A Quality,Worldwide,SPO,FOB,1 kg,USD,2.95,0.2,1/1/2011,Honey,
Jackfruit,Conventional,fresh,Worldwide,SPO / HL,EXW,,,Commercial price,15% of the commercial price,19/10/2018,Fresh Fruit,
Jackfruit,Organic,fresh,Worldwide,SPO / HL,EXW,,,Commercial price,15% of the commercial price,19/10/2018,Fresh Fruit,
Kale (any edible Brassica known as Kale),Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,5/5/2017,Vegetables,
Kale (any edible Brassica known as Kale),Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,5/5/2017,Vegetables,
Langsat,Conventional,fresh,Worldwide,SPO / HL,EXW,,,Commercial price,15% of the Commercial price,13/04/2018,Fresh fruit,
Langsat,Organic,fresh,Worldwide,SPO / HL,EXW,,,Commercial price,15% of the Commercial price,13/04/2018,Fresh fruit,
Leave of African Nightshade,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,2/3/2015,Vegetables,
Leave of African Nightshade,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,2/3/2015,Vegetables,
Leave of cowpea,Conventional,Fresh,Africa,SPO,EXW,,,Commercial price,15% of the commercial price,5/12/2014,Vegetables,
Leave of cowpea,Organic,Fresh,Africa,SPO,EXW,,,Commercial price,15% of the commercial price,5/12/2014,Vegetables,
Leek,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Leek,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Lemon,Conventional,Concentrate juice,Worldwide,SPO / HL,FOB,1 MT,,Commercial price,15% of the commercial price,19/12/2013,Prepared and Preserved Fruit & Vegetables,
Lemon,Organic,Concentrate juice,Worldwide,SPO / HL,FOB,1 MT,,Commercial price,15% of the commercial price,19/12/2013,Prepared and Preserved Fruit & Vegetables,
Lettuce,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Lettuce,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Lime,Conventional,for processing,worldwide,SPO / HL,FOB,kg,USD,Commercial price,15% of the commercial price,1/1/2021,Fresh Fruit,
Lime,Organic,for processing,worldwide,SPO / HL,FOB,kg,USD,Commercial price,15% of the commercial price,1/1/2021,Fresh Fruit,
Lychee,Conventional,,Southern Africa (exc. Madagascar),SPO / HL,FOB,1 kg,USD,2.34,0.12,1/11/2010,Fresh Fruit,
Lychee,Organic,,Southern Africa (exc. Madagascar),SPO / HL,FOB,1 kg,USD,2.41,0.12,1/11/2010,Fresh Fruit,
Macadamia Nut,Conventional,kernel,Worldwide,SPO,FOB,1 kg,USD,Commercial price,15% of the commercial price,14/10/2022,Nuts,
Macadamia Nut,Organic,kernel,Worldwide,SPO,FOB,1 kg,USD,Commercial price,15% of the commercial price,14/10/2022,Nuts,
Mace,Conventional,,Worldwide,SPO,,1 kg,,Commercial price,15% of the commercial price,22/07/2009,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard
Mace,Organic,,India,SPO,EXW,1 kg,USD,5.92,0.15,21/03/2005,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard
Mahua seed,Conventional,,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,16/07/2019,Oilseeds and Oleaginous fruit,
Mahua seed,Organic,,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,16/07/2019,Oilseeds and Oleaginous fruit,
Mallow Leave of jute,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,2/3/2015,Vegetables,
Mallow Leave of jute,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,2/3/2015,Vegetables,
Mandarin,Conventional,Concentrate juice,Worldwide,SPO / HL,FOB,1 MT,USD,1955,160,4/12/2008,Prepared and Preserved Fruit & Vegetables,
Mandarin,Organic,Concentrate juice,Worldwide,SPO / HL,FOB,1 MT,USD,2875,190,4/12/2008,Prepared and Preserved Fruit & Vegetables,
Mango,Conventional,fresh,worldwide (exc. countries/regions with specific prices),SPO / HL,EXW,1 kg,USD,0.62,0.09,1/1/2020,Fresh Fruit,
Mango,Organic,fresh,worldwide (exc. countries/regions with specific prices),SPO / HL,EXW,1 kg,USD,0.72,0.09,1/1/2020,Fresh Fruit,
Mango Seed Kernel,Conventional,,Worldwide,SPO / HL,EXW,,,Commercial price,15% of the commercial price,17/12/2020,Oilseeds and Oleaginous fruit,
Mango Seed Kernel,Organic,,Worldwide,SPO / HL,EXW,,,Commercial price,15% of the commercial price,17/12/2020,Oilseeds and Oleaginous fruit,
Mangosteen,Conventional,fresh,Worldwide,SPO / HL,EXW,,,Commercial price,15% of the Commercial price,13/04/2018,Fresh fruit,
Mangosteen,Organic,fresh,Worldwide,SPO / HL,EXW,,,Commercial price,15% of the Commercial price,13/04/2018,Fresh fruit,
Marula,Conventional,for processing,Africa,SPO,EXW,1 kg,USD,Commercial price,0.025,15/07/2010,Fresh Fruit,
Marula,Organic,for processing,Africa,SPO,EXW,1 kg,USD,Commercial price,0.025,15/07/2010,Fresh Fruit,
Melon,Conventional,,Worldwide,SPO / HL,EXW,1 kg,USD,Commercial price,0.1,19/09/2011,Fresh Fruit,
Melon,Organic,,Worldwide,SPO / HL,FOB,1 kg,USD,Commercial price,0.1,19/09/2011,Fresh Fruit,
Millet,Conventional,dried grain,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,29/01/2018,Cereals,group of small-seeded grasses;
Millet,Organic,dried grain,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,29/01/2018,Cereals,group of small-seeded grasses;
Mini Watermelon,Conventional,,Worldwide,SPO / HL,EXW/FOB,1 kg,USD,Commercial price,0.04,31/03/2011,Fresh Fruit,not exceeding 3.2 kg in weight;
Mini Watermelon,Organic,,Worldwide,SPO / HL,EXW/FOB,1 kg,USD,Commercial price,0.04,31/03/2011,Fresh Fruit,not exceeding 3.2 kg in weight;
Mint,Conventional,,Worldwide,HL,,1 kg,EUR,Commercial price,0.5,before 2004,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard. This price is valid for the forms of peppermint (Mentha x piperita) and spearmint (Mentha spicata).
Mint,Organic,,Worldwide,HL,,1 kg,EUR,Commercial price,0.5,before 2004,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard. This price is valid for the forms of peppermint (Mentha x piperita) and spearmint (Mentha spicata).
Nectarine,Conventional,,Worldwide,SPO / HL,EXW,1 kg,USD,Commercial price,15% of the Commercial price,14/10/2022,Fresh Fruit,
Nectarine,Organic,,Worldwide,SPO / HL,EXW,1 kg,USD,Commercial price,15% of the Commercial price,14/10/2022,Fresh Fruit,
Nutmeg,Conventional,,Worldwide,SPO,,1 kg,,Commercial price,15% of the commercial price,22/07/2009,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard
Nutmeg,Organic,,India,SPO,EXW,1 kg,USD,1.91,0.24,4/5/2006,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard
Olive,Conventional,,Worldwide,SPO / HL,EXW,1 kg,USD,Commercial price,15% of the commercial price,14/10/2022,Oilseeds and Oleaginous fruit,
Olive,Organic,,Worldwide,SPO / HL,EXW,1 kg,USD,Commercial price,15% of the commercial price,14/10/2022,Oilseeds and Oleaginous fruit,
Olive Oil,Conventional,extra virgin,Northern Africa,SPO,EXW,1 kg,EUR,market price,0.4,27/05/2014,Oilseeds and Oleaginous fruit,
Olive Oil,Organic,extra virgin,Northern Africa,SPO,EXW,1 kg,EUR,market price,0.5,27/05/2014,Oilseeds and Oleaginous fruit,
Onion,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Onion,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
Orange,Conventional,for juice,Worldwide,SPO / HL,EXW,40.8 Kg,USD,5,0.5,7/1/2019,Fresh Fruit,for processing in consumer countries
Orange,Organic,for juice,Worldwide,SPO / HL,EXW,40.8 Kg,USD,7.5,0.8,7/1/2019,Fresh Fruit,for processing in consumer countries
Orange Juice,Conventional,Frozen concentrate juice,Worldwide,SPO / HL,FOB,1 MT,USD,2300,250,7/1/2019,Prepared and Preserved Fruit & Vegetables,
Orange Juice,Organic,Frozen concentrate juice,Worldwide,SPO / HL,FOB,1 MT,USD,3250,350,7/1/2019,Prepared and Preserved Fruit & Vegetables,
Palm heart,Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,4/3/2013,Vegetables,
Palm heart,Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,4/3/2013,Vegetables,
Papaya,Conventional,fresh,Worldwide (exc. Brazil),SPO / HL,FOB,,,Commercial price,11% of the commercial price,15/01/2018,Fresh Fruit,
Papaya,Organic,fresh,Brazil,SPO / HL,EXW,2 kg,EUR,Commercial price,1.18,16/01/2018,Fresh Fruit,
Passion Fruit,Conventional,for processing,South-Eastern Asia,SPO / HL,EXW,1 MT,USD,240,36,8/3/2012,Fresh Fruit,
Passion Fruit,Organic,for processing,South-Eastern Asia,SPO / HL,EXW,1 MT,USD,264,39,8/3/2012,Fresh Fruit,
Passion fruit,Conventional,,Worldwide,SPO / HL,EXW,1 MT,USD,Commercial price,100,8/3/2012,Fresh Fruit,
Passion fruit,Organic,,Worldwide,SPO / HL,EXW,1 MT,USD,Commercial price,110,8/3/2012,Fresh Fruit,
Peach,Conventional,,Worldwide,SPO / HL,EXW,1 kg,USD,Commercial price,15% of the commercial price,14/10/2022,Fresh Fruit,
Peach,Organic,,Worldwide,SPO / HL,EXW,1 kg,USD,Commercial price,15% of the commercial price,14/10/2022,Fresh Fruit,
Peanut,Conventional,,Worldwide,SPO,FOB,1 MT,USD,670,110,before 2004,Nuts,
Peanut,Organic,,Worldwide,SPO,FOB,1 MT,USD,820,110,before 2004,Nuts,
Pear,Conventional,,Worldwide,SPO / HL,EXW,1 kg,USD,Commercial price,15% of the commercial price,14/10/2022,Fresh Fruit,
Pear,Organic,,Worldwide,SPO / HL,EXW,1 kg,USD,Commercial price,15% of the commercial price,14/10/2022,Fresh Fruit,
"Pepper, bell",Conventional,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
"Pepper, bell",Organic,Fresh,Worldwide,SPO,EXW,,,Commercial price,15% of the commercial price,3/7/2013,Vegetables,
"Pepper, black",Conventional,,Worldwide,SPO,,,,Commercial price,15% of the commercial price,22/07/2009,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard
"Pepper, black",Organic,,India,SPO,EXW,1 kg,USD,1.24,0.08,4/5/2006,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard
"Pepper, white",Conventional,,Worldwide,SPO,,,,Commercial price,15% of the commercial price,22/07/2009,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard
"Pepper, white",Organic,,India,SPO,EXW,1 kg,USD,1.99,0.19,4/5/2006,Herbs and Herbal Teas and Spices,Look at the product description in the specific product standard
Persimmon,Conventional,dried,Pakistan,CP,EXW,,,Commercial price,15% of the commercial price,6/9/2017,Prepared and Preserved Fruit & Vegetables,
