activity_id,unit_type,co2e_kg,co2e_unit,gas_co2e_total,gas_co2e_other,gas_co2,gas_ch4,gas_n2o,name,id,access_type,source,source_dataset,year,category,source_lca_activity,data_quality_flags
consumer_goods-type_beer_consumed_on_licensed_premises,Money,2.681,kg,2.681,,,,,Beer consumed on licensed premises,b2eb8075-84f4-4c8d-a38e-076ca04982aa,public,Market Economics Limited,Consumption emissions modelling - Cons EF 247 NZHES,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_beer_soft_drinks_and_fruit_juices,Money,3.575,kg,3.575,,,,,Beer / soft drinks and fruit juices,3ed74e67-27c6-4330-91d5-1ff4d89a9b78,public,Market Economics Limited,Consumption emissions modelling - Cons EF 199 SUT,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_beer_wine_and_liquor_stores,Money,1.86,kg,1.86,,1.58,0.00498,0.000428,Beer/wine and liquor stores,38620b95-51a4-4650-ba91-54ff22c16e31,public,EPA,Supply Chain Greenhouse Gas Emission Factors v1.3,2022,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_beet_sugar,Money,4.82,kg,4.82,,3.44,0.0127,0.00371,Beet sugar manufacturing,e376b2a8-fd1b-42a6-94c4-7eba7c4bd371,public,EPA,Supply Chain Greenhouse Gas Emission Factors v1.3,2022,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_berry_fruit_kiwifruit_and_grapes_fresh_or_chilled,Money,6.379,kg,6.379,,,,,Berry fruit/kiwifruit and grapes (fresh or chilled),773db823-4d5c-4bb4-b503-20e7a1e4ee44,public,Market Economics Limited,Consumption emissions modelling - Cons EF 247 NZHES,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_beverages,Money,13.38,kg,13.38,,,,,Beverages,00bda3f2-1928-43d8-a5d0-6a20ae876463,public,EXIOBASE,EXIOBASE 3,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_bottled_water,Money,2.14,kg,2.14,,1.69,0.00773,0.00059,Bottled water manufacturing,e7fca2bd-6361-4510-9d6b-fe178e300ee8,public,EPA,Supply Chain Greenhouse Gas Emission Factors v1.3,2022,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_brassica_fresh_or_chilled,Money,11.08,kg,11.08,,,,,Brassica (fresh or chilled),6648489a-4721-46cd-a748-8eaa8272caaa,public,Market Economics Limited,Consumption emissions modelling - Cons EF 247 NZHES,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_bread,Weight,6.39,kg,6.39,,4.41,0.005,0.0069,Bread (wheat mix),023a046d-adbc-494e-9bb0-ffc6939eaefe,public,GEMIS,GEMIS model and database v5.0,2015,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_bread,Money,4.567,kg,4.567,,,,,Bread,dafaf0b9-8b3d-4edf-9fe3-521200886972,public,Market Economics Limited,Consumption emissions modelling - Cons EF 247 NZHES,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_bread_ldpe_bag-origin_region_multi_region,Weight,8.368,kg,8.368,,,,,Bread LDPE bag,6d971442-1019-4ad6-9bc0-37145ad40958,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_bread_other_baked_goods,Money,3.08,kg,,0.04,2.54,0.02,0.0,Bread and other baked goods,45bfe641-eff5-497d-9b2f-531bf810f177,public,EPA,Supply Chain Factors Dataset (commodities),2018,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_bread_rolls_and_flatbreads,Money,6.424,kg,6.424,0.08727,5.326,0.02133,0.00136,Bread / rolls and flatbreads,f7675233-937d-4319-b10e-c664b1fb3f4e,public,OpenIO-Canada,OpenIO v2.9,2020,Food/Beverages/Tobacco,cradle_to_gate,[]
consumer_goods-type_breakfast_cereal_and_other_cereal_products,Money,9.659,kg,9.659,0.1042,7.142,0.02401,0.006204,Breakfast cereal and other cereal products,ccabd5f9-084b-417b-8ff2-b2d95370be7d,public,OpenIO-Canada,OpenIO v2.9,2020,Food/Beverages/Tobacco,cradle_to_gate,[]
consumer_goods-type_breakfast_cereals,Money,4.73,kg,4.73,,3.3,0.00997,0.00418,Breakfast cereals,23bc4c25-e77d-4423-9ca1-94397501b0c4,public,EPA,Supply Chain Greenhouse Gas Emission Factors v1.3,2022,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_breweries_beer,Money,2.74,kg,2.74,,1.85,0.008,0.00237,Breweries,3a4dca98-7f1c-4b34-a4a3-53e2a236d99e,public,EPA,Supply Chain Greenhouse Gas Emission Factors v1.3,2022,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_brioche_ldpe_bag-origin_region_multi_region,Weight,30.1,kg,30.1,,,,,Brioche LDPE bag,54a7889e-a726-47d0-95e2-04d78a8d53af,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_broccoli_ldpe_bag-origin_region_multi_region,Weight,7.509,kg,7.509,,,,,Broccoli LDPE bag,9456b015-c1a9-4acb-af0a-e11412a32c61,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_butter,Weight,228.6,kg,228.6,,45.86,3.833,0.2556,Butter,6a814fc1-ea5d-483c-9e7e-58c06ee05dfd,public,GEMIS,GEMIS model and database v5.0,2015,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_butter,Money,17.21,kg,17.21,,,,,Butter,ca429ba0-c151-453e-94da-ae225d31aec0,public,Market Economics Limited,Consumption emissions modelling - Cons EF 247 NZHES,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_butter-origin_region_multi_region,Weight,115.2,kg,115.2,,,,,Butter,e85b55b8-84ac-42b7-945d-5e753688572d,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2015,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_butter_and_dry_and_canned_dairy_products,Money,27.91,kg,27.91,0.08719,8.162,0.4664,0.02111,Butter and dry and canned dairy products,2a62063c-472c-4851-b67b-30d34e3f4ca7,public,OpenIO-Canada,OpenIO v2.9,2020,Food/Beverages/Tobacco,cradle_to_gate,[]
consumer_goods-type_butter_pp_tub_with_ldpe_lid-origin_region_multi_region,Weight,49.08,kg,49.08,,,,,Butter PP tub with LDPE lid,f972591c-b26e-4d15-9ab1-9cdb5f502aee,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_cabbages_ldpe_bag-origin_region_multi_region,Weight,5.299,kg,5.299,,,,,Cabbages LDPE bag,894aa1fb-7722-4b5a-90e0-a7bdd45ca12f,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_cakes_and_biscuits,Money,4.567,kg,4.567,,,,,Cakes and biscuits,7ecec0c2-5ee2-4ec1-9c5f-cd454a009605,public,Market Economics Limited,Consumption emissions modelling - Cons EF 247 NZHES,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_cane_sugar,Money,4.82,kg,4.82,,3.44,0.0127,0.00371,Cane sugar manufacturing,82f8655b-8d6d-48ff-9c9f-b11f46d78904,public,EPA,Supply Chain Greenhouse Gas Emission Factors v1.3,2022,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_cannabis_products_except_seeds_plants_and_plant_parts,Money,3.575,kg,3.575,0.06577,3.235,0.007754,0.0001492,Cannabis products (except seeds / plants and plant parts),344f054c-24eb-404d-970a-b683c64a4d9c,public,OpenIO-Canada,OpenIO v2.9,2020,Food/Beverages/Tobacco,cradle_to_gate,[]
consumer_goods-type_canned_baked_beans_spaghetti_and_other_canned_meals,Money,4.417,kg,4.417,,,,,Canned baked beans/spaghetti and other canned meals,e47bc74e-921c-4def-bab2-bc236f34d0b0,public,Market Economics Limited,Consumption emissions modelling - Cons EF 247 NZHES,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_canned_bottled_and_frozen_fruit,Money,10.81,kg,10.81,,,,,Canned/bottled and frozen fruit,e64996e3-982e-4e9a-9d92-0fc448f7b8b3,public,Market Economics Limited,Consumption emissions modelling - Cons EF 247 NZHES,2019,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_canned_carrots-origin_region_uk,Weight,16.86,kg,16.86,,,,,Canned carrots,f0c548fa-498f-4652-8769-e36bb79f9ebd,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2019,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_canned_carrots-origin_region_uk_import_market_mix,Weight,22.46,kg,22.46,,,,,Canned carrots,2356d21e-6eb3-44b8-99df-1d9c31d1b8dd,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2019,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_canned_green_beans-origin_region_uk,Weight,12.33,kg,12.33,,,,,Canned green beans,2d1cbe54-ea41-48c6-be22-4fcdc95ac476,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2019,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_canned_green_beans-origin_region_uk_import_market_mix,Weight,14.18,kg,14.18,,,,,Canned green beans,5f09295a-708e-4055-941b-be26932e54d7,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2019,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_canned_peas_shelled_fresh_peas_not_dried-origin_region_uk,Weight,16.22,kg,16.22,,,,,Canned peas shelled (fresh peas - not dried),1dc07e9e-a335-436e-a485-9872d94849ed,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2019,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_canned_peas_shelled_fresh_peas_not_dried-origin_region_uk_import_market_mix,Weight,32.3,kg,32.3,,,,,Canned peas shelled (fresh peas - not dried),7f368559-2c65-4406-82e7-bdaac1d2f458,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2019,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_canned_peas_shelled_from_dried_peas-origin_region_uk,Weight,17.49,kg,17.49,,,,,Canned peas shelled (from dried peas),f9ed8314-b14a-4005-9fca-2b412c75d5b8,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2019,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_canned_peas_shelled_from_dried_peas-origin_region_uk_import_market_mix,Weight,26.18,kg,26.18,,,,,Canned peas shelled (from dried peas),e9d00c8d-6734-422c-91bf-9da77da50fdb,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2019,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_canned_pulses_shelled-origin_region_uk,Weight,17.42,kg,17.42,,,,,Canned (pulses shelled),0a4925fa-079b-48ce-a21a-b90445fd2f02,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2019,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_canned_pulses_shelled-origin_region_uk_import_market_mix,Weight,19.09,kg,19.09,,,,,Canned (pulses shelled),495bfb6d-0e29-4eae-8bbd-5a56c3ae4281,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2019,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_canned_spinach-origin_region_uk,Weight,13.27,kg,13.27,,,,,Canned spinach,30cf3503-74d0-4c15-aada-b90a0676a97b,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2019,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_canned_spinach-origin_region_uk_import_market_mix,Weight,18.8,kg,18.8,,,,,Canned spinach,9709dbb5-c2e2-4ba1-b34f-c9904fe3a97f,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2019,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_canned_sweet_corn-origin_region_uk,Weight,20.16,kg,20.16,,,,,Canned sweet corn,82db205c-1476-4ca5-89a8-e3c13fa56748,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2019,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_canned_sweet_corn-origin_region_uk_import_market_mix,Weight,25.1,kg,25.1,,,,,Canned sweet corn,b4098840-974c-4d05-97da-7261a4cd75d5,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2019,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_canned_vegetables,Weight,3.99,kg,3.99,,3.54,0.005,0.0012,Canned vegetables,7eb2c45c-f888-4de0-999a-47b1bf0d4add,public,GEMIS,GEMIS model and database v5.0,2015,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_carbonated_and_non_carbonated_drinks_bottled_water_and_ice,Money,12.22,kg,12.22,0.06044,11.33,0.01859,0.0009921,Carbonated and non-carbonated drinks / bottled water and ice,928f7230-492b-4389-82d2-ab4d6e96827c,public,OpenIO-Canada,OpenIO v2.9,2020,Food/Beverages/Tobacco,cradle_to_gate,[]
consumer_goods-type_carrots_ldpe_bag-origin_region_multi_region,Weight,2.683,kg,2.683,,,,,Carrots LDPE bag,39b65f10-1ca5-44d7-b6ad-39b831b4f64e,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_cashew_nut-origin_region_multi_region,Weight,15.5,kg,15.5,,,,,Cashew nut,93b7b7d4-6227-4620-88f3-bb4f6654fb8a,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2015,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
consumer_goods-type_cashew_nuts_ldpe_bag-origin_region_multi_region,Weight,7.034,kg,7.034,,,,,Cashew nuts LDPE bag,5a2243b6-4118-457e-8315-27d0a19c033a,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_cauliflower_ldpe_bag-origin_region_multi_region,Weight,4.876,kg,4.876,,,,,Cauliflower LDPE bag,f6571338-3f69-4bda-895f-61f0b0d63263,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2022,Food/Beverages/Tobacco,cradle_to_processing_gate,['notable_methodological_variance']
consumer_goods-type_cereals_grains_bread_pasta,Money,1.162,kg,1.162,,,,,Cereals (grains/bread/pasta),73baae3e-9cf7-4838-832e-698c68d005ad,public,BEIS,UK full dataset including conversion factors by COICOP code (archived),2018,Food/Beverages/Tobacco,unknown,[]
consumer_goods-type_cheese,Weight,81.82,kg,81.82,,20.5,1.285,0.0857,Cheese,55d898ec-f850-45c3-8b4a-88d381813fd4,public,GEMIS,GEMIS model and database v5.0,2015,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_cheese,Money,9.69,kg,9.69,,2.57,0.2,0.00558,Cheese,a55459d5-7a0a-46be-b492-637c2c398d45,public,EPA,Supply Chain Greenhouse Gas Emission Factors v1.3,2022,Food/Beverages/Tobacco,cradle_to_shelf,[]
consumer_goods-type_cheese-origin_region_global,Weight,209.7,kg,209.7,,,,,Cheese,0dd49c0b-7fd1-4cf8-9fd8-b8becc3d698a,public,WRAP,Scope 3 GHG Measurement and Reporting Protocols for Food and Drink,2018,Food/Beverages/Tobacco,cradle_to_processing_gate,[]
